Seconds,Alpha,Red,Green,Blue
1,-26,-155,-285,1
2,-4,0,-48,-104
3,-15,-60,-165,-345
4,23,115,299,161
5,-5,-38,2,-28
6,-17,-84,-169,-407
7,-11,-32,-54,-186
8,-11,3,-140,-305
9,31,187,187,745
10,-14,-70,-112,-364
11,-16,-49,-241,-369
12,-11,-1,-34,-122
13,-8,-56,-8,-24
14,46,185,737,231
15,10,41,21,81
16,-33,-264,-330,-858
17,17,67,84,-1
18,-62,-247,-805,-1487
19,59,297,2,1536
20,-2,-3,-3,-49
21,-2,-17,-21,-37
22,32,33,449,353
23,4,4,60,16
24,-5,-25,-15,-135
25,-3,-15,-30,-60
26,3,6,39,48
27,-9,-45,-117,-126
28,-1,-7,-9,-17
29,-5,-29,-59,-154
30,-23,-24,-254,-277
31,41,81,40,573
32,-19,-114,-304,-361
33,7,48,6,48
34,7,11,18,151
35,-19,-39,-153,-210
36,-17,-69,-52,-409
37,-2,-4,-14,-10
38,-5,-24,-24,-64
39,-24,-119,1,-599
40,13,103,64,77
41,9,8,125,188
42,49,393,246,1373
43,-9,-45,-117,-63
44,-1,-7,-10,-3
45,-1,-5,-18,-17
46,-24,-121,-169,-313
47,-24,-169,-1,-73
48,-3,-18,-15,-78
49,-15,-59,-29,-134
50,-19,-96,-1,-343
51,-31,-157,-219,-157
52,6,0,48,132
53,9,54,18,207
54,-7,-6,-34,-41
55,-27,-79,-322,-700
56,9,72,162,90
57,27,107,26,377
58,-3,-10,-4,-76
59,27,189,243,621
60,13,52,221,377
61,-15,-91,-211,-61
62,43,215,172,860
63,31,0,62,496
64,-10,-21,-31,-271
65,4,5,41,29
66,5,30,15,35
67,-1,-5,-6,-1
68,21,84,210,210
69,-11,-33,-132,-121
70,23,68,22,712
71,-11,-32,-131,-164
72,14,43,155,281
73,36,106,430,1114
74,-28,-196,-392,-532
75,2,1,19,17
76,-4,-7,-51,-67
77,2,3,35,29
78,-14,-56,-98,-378
79,11,64,119,86
80,-27,-29,-245,-623
81,-25,-99,-24,-149
82,-56,-113,-169,-1569
83,34,168,372,134
84,-22,-131,-175,-549
85,-33,-34,-133,-67
86,-32,-224,-32,-864
87,11,67,45,309
88,20,60,60,440
89,-1,1,-5,1
90,-28,0,-420,-812
91,0,0,0,0
92,-21,-167,-251,-125
93,26,183,339,833
94,-28,-28,-28,-840
95,-29,-144,-173,-260
96,-26,-181,-285,-831
97,20,120,80,200
98,-10,-48,-18,-148
99,-20,-60,-240,-240
100,9,63,81,99
101,1,-1,3,13
102,34,205,511,749
103,-10,-21,-91,-221
104,-19,-113,-75,-94
105,-19,-56,-56,-284
106,21,64,148,421
107,-2,-17,-27,-55
108,5,10,15,80
109,17,16,169,424
110,-23,-45,-344,-22
111,11,10,87,197
112,-1,-4,-1,-2
113,28,0,420,196
114,1,2,12,27
115,-23,-184,-207,-575
116,9,54,99,117
117,33,98,164,230
118,-12,-23,-131,-191
119,-18,-36,-36,-18
120,-63,-315,-630,-1827
121,61,489,489,123
122,-32,-98,-130,-706
123,-24,-170,-50,-362
124,30,28,328,928
125,-21,-106,-232,-631
126,26,131,105,105
127,46,230,0,1058
128,16,112,272,128
129,18,17,233,395
130,-12,-12,-24,-180
131,-26,-26,-390,-130
132,-5,-36,-91,-126
133,18,19,199,487
134,-18,-53,-197,-431
135,-16,-98,-226,-258
136,19,153,39,400
137,25,175,225,0
138,11,24,189,266
139,-16,-32,-16,-464
140,10,69,109,189
141,11,13,13,57
142,-23,-46,-322,-115
143,15,15,105,15
144,-16,-15,-31,-223
145,-3,-8,-29,-80
146,-29,-204,-378,-175
147,29,146,204,146
148,7,12,89,131
149,-13,-78,-91,-169
150,-4,-4,-60,-40
151,-18,-144,-18,-486
152,-35,-69,-489,-979
153,-27,-216,-459,-567
154,14,28,196,420
155,-15,-90,-75,-180
156,6,19,43,79
157,0,-1,-1,-1
158,-23,-90,-159,-274
159,-32,-31,-191,-927
160,-41,-286,-327,-40
161,25,25,275,325
162,-29,-116,-58,-551
163,16,112,16,224
164,-8,-26,-34,-18
165,-12,-12,-192,-336
166,10,9,139,319
167,-16,-98,-290,-130
168,-1,-7,-16,-19
169,-20,-22,-142,-222
170,5,0,10,150
171,0,-2,-2,-2
172,-12,-10,-202,-82
173,-38,-227,-303,-341
174,-2,0,-6,-58
175,-14,-27,-55,-125
176,18,90,90,504
177,32,128,448,0
178,-32,-96,-160,-224
179,-10,-28,-138,-128
180,11,12,45,298
181,20,139,139,119
182,13,78,143,0
183,5,6,86,56
184,-4,-16,-16,-20
185,-16,-16,-48,-304
186,8,25,137,17
187,12,71,59,11
188,-38,-153,-305,-533
189,21,20,356,62
190,-28,-223,-307,-727
191,-6,-44,-8,-80
192,-12,-24,-108,-312
193,-12,-83,-59,-359
194,11,66,154,22
195,17,34,221,102
196,33,198,132,231
197,16,80,64,384
198,-16,-80,-144,-96
199,4,20,52,12
200,12,12,156,264
201,-26,-1,-287,-131
202,-11,-55,-121,-11
203,15,61,256,301
204,-2,-11,-15,-41
205,24,50,242,362
206,-1,0,-13,-20
207,-13,-53,-170,-352
208,-9,-44,-8,-161
209,-8,-32,-64,0
210,8,17,81,185
211,-12,-38,-74,-182
212,-19,-95,-323,-494
213,3,9,12,84
214,-9,-9,-63,-252
215,-12,-83,-167,-107
216,35,105,420,595
217,-36,-72,-540,-468
218,9,54,9,261
219,12,85,121,265
220,-10,-69,-29,-139
221,29,30,117,929
222,-10,-50,-90,-260
223,-8,-42,-66,-50
224,36,108,0,1008
225,-7,-28,-63,-217
226,9,45,54,135
227,4,31,43,67
228,-25,-151,-401,-26
229,-1,-5,-16,-16
230,-26,-155,-337,-441
231,24,73,25,49
232,-1,-4,-11,-10
233,-11,-10,-87,-153
234,48,-1,671,383
235,26,130,182,806
236,-8,-16,-24,-40
237,-26,-105,-157,-443
238,3,7,43,34
239,28,55,83,391
240,-26,0,-78,-286
241,10,40,160,40
242,6,48,108,72
243,7,28,63,154
244,6,5,23,119
245,-41,-164,-615,-984
246,21,127,148,1
247,19,56,151,75
248,2,4,28,28
249,-19,0,-95,-152
250,24,0,360,456
251,9,18,72,9
